"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Resources Page - Filter persistence","1","0","","0"
"0","","0","Home Page - Footer links validation","6","0","","0"
"0","","0","IoT SIM Card Page - Language localization functionality","2","0","","0"
"0","","0","Resources Page - Article Anchor Links","3","0","","0"
"0","","0","Home Page — Cookie Policy Link","1","0","","0"
"0","","0","Homepage - Navigation menu tabs behavior","5","0","","0"
"0","","0","Global Coverage Page - Country Filtering Functionality","1","0","","0"
"0","","0","Solutions Page - Search Functionality","1","0","","0"
"0","","0","Home Page - AI-powered demo settings persistence","1","0","","0"
"0","","0","Global Coverage Page - Region Filtering Functionality","1","0","","0"
"0","","0","IoT SIM Card Page - FAQ Section","1","0","","0"
"0","","0","Resources Page - No Results Message","1","0","","0"
"0","","0","Resources Page - Filter Functionality","2","0","","0"
"0","","0","Resources Page - Pagination","1","0","","0"
"0","","0","Home Page — Social Media Links","1","0","","0"
"0","","0","Solutions Page - No Results Message","1","0","","0"
"0","","0","Resources Page - Filter Switching Functionality","1","0","","0"
"0","","0","Resources page - search functionality","1","0","","0"
